onset	v1c1c2	v2c3c4	tr	word	target	keep_enough_distance	keep_no_overlap	keep_self_diff
ß	ém	egß	ßémegßik	szémegszik	ßémegß	TRUE	TRUE	TRUE
f	ujd	o¥l	fujdo¥lik	fujdonylik	fujdo¥l	TRUE	TRUE	TRUE
g	irt	adz	girtadzik	girtadzik	girtadz	TRUE	TRUE	TRUE
sp	ib	ánz	spibánzik	spibánzik	spibánz	TRUE	TRUE	TRUE
sm	ünd	öz	smündözik	smündözik	smündöz	TRUE	TRUE	TRUE
l	id	agz	lidagzik	lidagzik	lidagz	TRUE	TRUE	TRUE
z	ú¬z	ód	zú¬zódik	zúlyzódik	zú¬zód	FALSE	TRUE	TRUE
Ω	év	egz	Ωévegzik	zsévegzik	Ωévegz	TRUE	TRUE	TRUE
j	iml	ádz	jimládzik	jimládzik	jimládz	TRUE	TRUE	FALSE
b	öt	űz	bötűzik	bötűzik	bötűz	TRUE	TRUE	TRUE
p	er	ékß	perékßik	perékszik	perékß	TRUE	TRUE	TRUE
©	il	érl	©ilérlik	gyilérlik	©ilérl	TRUE	TRUE	TRUE
Ω	ifj	agz	Ωifjagzik	zsifjagzik	Ωifjagz	TRUE	TRUE	TRUE
j	ang	akz	jangakzik	jangakzik	jangakz	TRUE	TRUE	TRUE
sn	ürk	öd	snürködik	snürködik	snürköd	TRUE	TRUE	TRUE
bl	űk	öz	blűközik	blűközik	blűköz	TRUE	TRUE	TRUE
¥	ém	egl	¥émeglik	nyémeglik	¥émegl	TRUE	TRUE	TRUE
sn	at	á¬l	snatá¬lik	snatálylik	snatá¬l	TRUE	TRUE	TRUE
d	ißt	en	dißtenik	disztenik	dißten	TRUE	FALSE	FALSE
NA	iΩ	ágl	iΩáglik	izságlik	iΩágl	TRUE	TRUE	TRUE
d	apl	ád	dapládik	dapládik	daplád	TRUE	TRUE	TRUE
t	ul	űz	tulűzik	tulűzik	tulűz	TRUE	TRUE	TRUE
z	ant	ánz	zantánzik	zantánzik	zantánz	TRUE	TRUE	TRUE
tr	iml	ek	trimlekik	trimlekik	trimlek	TRUE	TRUE	TRUE
g	ürd	üß	gürdüßik	gürdüszik	gürdüß	TRUE	TRUE	TRUE
NA	is	á¥z	isá¥zik	isányzik	isá¥z	TRUE	TRUE	TRUE
k	ilm	érß	kilmérßik	kilmérszik	kilmérß	TRUE	TRUE	TRUE
g	av	agz	gavagzik	gavagzik	gavagz	TRUE	TRUE	FALSE
t	urj	ódz	turjódzik	turjódzik	turjódz	TRUE	TRUE	TRUE
NA	ás	ágl	áságlik	áságlik	áságl	TRUE	TRUE	TRUE
b	a†	ádz	ba†ádzik	batyádzik	ba†ádz	TRUE	FALSE	TRUE
n	ant	árz	nantárzik	nantárzik	nantárz	TRUE	TRUE	TRUE
z	údb	űz	zúdbűzik	zúdbűzik	zúdbűz	TRUE	TRUE	TRUE
j	ing	áΩl	jingáΩlik	jingázslik	jingáΩl	TRUE	TRUE	TRUE
br	í©	á¬l	brí©á¬lik	brígyálylik	brí©á¬l	TRUE	TRUE	TRUE
v	őn	ösl	vőnöslik	vőnöslik	vőnösl	TRUE	TRUE	TRUE
m	ajl	agz	majlagzik	majlagzik	majlagz	TRUE	TRUE	TRUE
