cvc	cc	type	cselekednek	cselekszenek
prénilik	prénlik	cselekedni	prénilni	prénleni
kagodik	kagdik	cselekedne	kagodna	kagdana
tíndapodik	tíndapdik	cselekedne	tíndapodna	tíndapdana
rökölik	röklik	cselekedne	rökölne	röklene
pőzsilik	pőzslik	cselekedtek	pőzsiltek	pőzslettek
tónozik	tónzik	cselekedne	tónozna	tónzana
küjözik	küjzik	cselekednek	küjöznek	küjzenek
zúsalugodik	zúsalugszik	cselekedtek	zúsalugodtak	zúsalugszottak
vukalik	vuklik	cselekednek	vukalnak	vuklanak
kívinelik	kívinlik	cselekedtek	kívineltek	kívinlettek
mőrünilik	mőrünlik	cselekedne	mőrünilne	mőrünlene
rűgezik	rűgzik	cselekedni	rűgezni	rűgzeni
betsögirik	betsögrik	cselekedtek	betsögirtek	betsögrettek
kőpümilik	kőpümlik	cselekedni	kőpümilni	kőpümleni
ripdürilik	ripdürlik	cselekedne	ripdürilne	ripdürlene
redübülkíjelik	redübülkíjlik	cselekednek	redübülkíjelnek	redübülkíjlenek
tipödik	tipdik	cselekedni	tipödni	tipdeni
sőbölödik	sőbölszik	cselekednek	sőbölödnek	sőbölszenek
bővegyefébezik	bővegyefébzik	cselekedne	bővegyefébezne	bővegyefébzene
kőpümilik	kőpümlik	cselekedtek	kőpümiltek	kőpümlettek
pétögiszik	pétögszik	cselekedtek	pétögisztek	pétögszettek
buzsulik	buzslik	cselekedtek	buzsultak	buzslottak
töginezik	töginzik	cselekednek	tögineznek	töginzenek
fütöjezik	fütöjzik	cselekednek	fütöjeznek	fütöjzenek
szűlverödik	szűlverdik	cselekedne	szűlverödne	szűlverdene
küjözik	küjzik	cselekedtek	küjöztek	küjzettek
rónolik	rónlik	cselekedni	rónolni	rónlani
punolik	punlik	cselekednek	punolnak	punlanak
tünjütütegödik	tünjütütegdik	cselekedni	tünjütütegödni	tünjütütegdeni
vőtímözik	vőtímzik	cselekedni	vőtímözni	vőtímzeni
vulugarik	vulugrik	cselekednek	vulugarnak	vulugranak
vulugarik	vulugrik	cselekedni	vulugarni	vulugrani
núgozik	núgzik	cselekedtek	núgoztak	núgzottak
lőtölik	lőtlik	cselekedtek	lőtöltek	lőtlettek
rünilik	rünlik	cselekedtek	rüniltek	rünlettek
kőnümezik	kőnümzik	cselekedne	kőnümezne	kőnümzene
báduluszik	bádulszik	cselekedne	báduluszna	bádulszana
legörik	legrik	cselekedtek	legörtek	legrettek
bekidik	bekdik	cselekedne	bekidne	bekdene
pigelödik	pigelszik	cselekednek	pigelödnek	pigelszenek
kúmomágyukaszik	kúmomágyukszik	cselekedtek	kúmomágyukasztok	kúmomágyukszotok
kúmomágyukaszik	kúmomágyukszik	cselekednek	kúmomágyukasznak	kúmomágyukszanak
tűkedik	tűkszik	cselekedne	tűkedne	tűkszene
gísilik	gíslik	cselekedtek	gísiltek	gíslettek
tűdedölönölik	tűdedölönlik	cselekedtek	tűdedölönöltek	tűdedölönlettek
zikizik	zikszik	cselekedtek	ziziktek	zszikettek
súszulik	súszlik	cselekedtek	súszultak	súszlottak
redelébezik	redelébzik	cselekedne	redelébezne	redelébzene
kálodik	kálszik	cselekedtek	kálodtak	kálszottak
núgozik	núgzik	cselekednek	núgoznak	núgzanak
tirotulik	tirotlik	cselekedni	tirotulni	tirotlani
vebüpűgeszik	vebüpűgszik	cselekedtek	vebüpűgesztek	vebüpűgszettek
müzötégirik	müzötégrik	cselekedni	müzötégirni	müzötégreni
sagorik	sagrik	cselekedtek	sagortok	sagrotok
vísolik	víslik	cselekedtek	vísoltek	víslettek
szűbepödik	szűbepszik	cselekedtek	szűbepödtek	szűbepszettek
pimörilik	pimörlik	cselekedtek	pimöriltek	pimörlettek
salmutáralik	salmutárlik	cselekedne	salmutáralna	salmutárlana
fófosodik	fófoslik	cselekedtek	fófosodtak	fófoslottak
tédölürilik	tédölürlik	cselekedni	tédölürilni	tédölürleni
bublulodik	bublulszik	cselekedtek	bublulodtok	bublulszotok
reridik	rerdik	cselekednek	reridnek	rerdenek
tugudik	tugdik	cselekedtek	tugudtok	tugdotok
kerkütölik	kerkütlik	cselekedni	kerkütölni	kerkütleni
mövezsenyözik	mövezsenyzik	cselekedtek	mövezsenyöztek	mövezsenyzettek
bészügölik	bészüglik	cselekednek	bészügölnek	bészüglenek
fisöpedik	fisöpdik	cselekedtek	fisöpedtek	fisöpdettek
kőnyepedik	kőnyepdik	cselekedni	kőnyepedni	kőnyepdeni
rösölik	röslik	cselekednek	rösölnek	röslenek
mivakozik	mivakzik	cselekednek	mivakoznak	mivakzanak
vügiszékögilik	vügiszéköglik	cselekedtek	vügiszékögiltek	vügiszéköglettek
szömíjígürik	szömíjígrik	cselekedne	szömíjígürne	szömíjígrene
rónolik	rónlik	cselekedne	rónolna	rónlana
vószulik	vószlik	cselekedtek	vószultak	vószlottak
tenírizsölik	tenírizslik	cselekednek	tenírizsölnek	tenírizslenek
bószolik	bószlik	cselekedtek	bószoltok	bószlotok
fubagulik	fubaglik	cselekedtek	fubagultak	fubaglottak
túsulik	túslik	cselekedtek	túsultak	túslottak
tőjíkípűjezik	tőjíkípűjzik	cselekednek	tőjíkípűjeznek	tőjíkípűjzenek
gűrijilik	gűrijlik	cselekedni	gűrijilni	gűrijleni
szozsalik	szozslik	cselekedtek	szozsaltok	szozslotok
míközik	míkszik	cselekedtek	míköztek	míkszettek
fépüdelik	fépüdlik	cselekedtek	fépüdeltek	fépüdlettek
kúfulikozik	kúfulikszik	cselekednek	kúfuloziknek	kúfulszikenek
murolik	murlik	cselekedtek	muroltok	murlotok
talojulik	talojlik	cselekedtek	talojultak	talojlottak
búnlalodik	búnlalszik	cselekedne	búnlalodna	búnlalszana
bővegyefébezik	bővegyefébzik	cselekedni	bővegyefébezni	bővegyefébzeni
nuvisudik	nuvislik	cselekedtek	nuvisudtek	nuvislettek
vőpödik	vőpszik	cselekedne	vőpödne	vőpszene
büjelik	büjlik	cselekedne	büjelne	büjlene
bebinezik	bebinzik	cselekedtek	bebineztek	bebinzettek
purdapudik	purdapdik	cselekedtek	purdapudtok	purdapdotok
murolik	murlik	cselekedne	murolna	murlana
kómozágodik	kómozágszik	cselekedni	kómozágodni	kómozágszani
léselik	léslik	cselekednek	léselnek	léslenek
jorikuzik	jorikszik	cselekedtek	joruziktek	jorszikettek
kegedik	kegszik	cselekedtek	kegedtek	kegszettek
vúdasodolik	vúdasodlik	cselekedni	vúdasodolni	vúdasodlani
kőpümilik	kőpümlik	cselekedne	kőpümilne	kőpümlene
frapodik	frapszik	cselekedne	frapodna	frapszana
köndünölik	köndünlik	cselekedtek	köndünöltek	köndünlettek
púzitszójolik	púzitszójlik	cselekedtek	púzitszójoltok	púzitszójlotok
risiralik	risirlik	cselekedtek	risiraltek	risirlettek
sagorik	sagrik	cselekedni	sagorni	sagrani
rűkezik	rűkszik	cselekedtek	rűkeztek	rűkszettek
dukodik	dukszik	cselekednek	dukodnak	dukszanak
kütinölik	kütinlik	cselekednek	kütinölnek	kütinlenek
tijilik	tijlik	cselekedni	tijilni	tijleni
tonyuzik	tonyzik	cselekedtek	tonyuztak	tonyzottak
mumlorigodik	mumlorigszik	cselekedne	mumlorigodne	mumlorigszene
főtenölik	főtenlik	cselekednek	főtenölnek	főtenlenek
töszöjölik	töszöjlik	cselekedne	töszöjölne	töszöjlene
mötírgepűkölik	mötírgepűklik	cselekedtek	mötírgepűköltek	mötírgepűklettek
dolanozik	dolanzik	cselekedne	dolanozna	dolanzana
dóbozik	dóbzik	cselekedtek	dóboztak	dóbzottak
nebögedik	nebögdik	cselekedni	nebögedni	nebögdeni
néntrelémőközik	néntrelémőkzik	cselekedtek	néntrelémőköztek	néntrelémőkzettek
zőmögölik	zőmöglik	cselekednek	zőmögölnek	zőmöglenek
bögüzseríszölik	bögüzseríszlik	cselekedne	bögüzseríszölne	bögüzseríszlene
túpazsalik	túpazslik	cselekedne	túpazsalna	túpazslana
pószulik	pószlik	cselekedtek	pószultak	pószlottak
müszölik	müszlik	cselekedtek	müszöltek	müszlettek
ríkezik	ríkzik	cselekedni	ríkezni	ríkzeni
vőleszik	vőlszik	cselekedne	vőleszne	vőlszene
köleközik	kölekzik	cselekedtek	köleköztek	kölekzettek
lígödik	lígszik	cselekedtek	lígödtek	lígszettek
murolik	murlik	cselekedni	murolni	murlani
solazulik	solazlik	cselekedtek	solazultok	solazlotok
turorodik	turordik	cselekedni	turorodni	turordani
lipükezik	lipükszik	cselekedtek	lipükeztek	lipükszettek
kuzsolik	kuzslik	cselekedne	kuzsolna	kuzslana
lűrölik	lűrlik	cselekedni	lűrölni	lűrleni
vűsödik	vűslik	cselekedni	vűsödni	vűsleni
fisöpedik	fisöpdik	cselekedtek	fisöpedtek	fisöpdettek
vúrozukozik	vúrozukzik	cselekedni	vúrozukozni	vúrozukzani
szüszölik	szüszlik	cselekedtek	szüszöltek	szüszlettek
tészödíközik	tészödíkzik	cselekedtek	tészödíköztek	tészödíkzettek
kúlivúmalik	kúlivúmlik	cselekedtek	kúlivúmaltak	kúlivúmlottak
gíkípödik	gíkípszik	cselekedtek	gíkípödtek	gíkípszettek
rőrtegödik	rőrtegdik	cselekedtek	rőrtegödtek	rőrtegdettek
szévinkőnölik	szévinkőnlik	cselekedtek	szévinkőnöltek	szévinkőnlettek
gűdönölik	gűdönlik	cselekedtek	gűdönöltek	gűdönlettek
dákozik	dákszik	cselekedtek	dákoztok	dákszotok
kűszöszéküszik	kűszöszékszik	cselekednek	kűszöszéküsznek	kűszöszékszenek
tödüpödik	tödüpszik	cselekedtek	tödüpödtek	tödüpszettek
tófamozik	tófamzik	cselekedni	tófamozni	tófamzani
kűgödik	kűgdik	cselekednek	kűgödnek	kűgdenek
tödüpödik	tödüpszik	cselekedne	tödüpödne	tödüpszene
kúruszízulik	kúruszízlik	cselekedne	kúruszízulne	kúruszízlene
kófomozik	kófomzik	cselekedni	kófomozni	kófomzani
prűrgítűkösödik	prűrgítűköslik	cselekedtek	prűrgítűkösödtek	prűrgítűköslettek
szekiszik	szekszik	cselekedtek	szekisztek	szekszettek
bégidik	bégdik	cselekedtek	bégidtek	bégdettek
dírvejepödik	dírvejepdik	cselekedni	dírvejepödni	dírvejepdeni
kóvapudik	kóvapszik	cselekedni	kóvapudni	kóvapszani
kávitakalik	kávitaklik	cselekednek	kávitakalnak	kávitaklanak
szugozik	szugzik	cselekedtek	szugoztak	szugzottak
kóvapudik	kóvapszik	cselekednek	kóvapudnak	kóvapszanak
tákozik	tákzik	cselekedtek	tákoztok	tákzotok
kögiszik	kögszik	cselekednek	kögisznek	kögszenek
bívupodik	bívupszik	cselekedni	bívupodni	bívupszani
flékeköszik	flékekszik	cselekedni	flékeköszni	flékekszeni
séliszik	sélszik	cselekedne	séliszne	sélszene
lórudik	lórdik	cselekedtek	lórudtok	lórdotok
sázuramalik	sázuramlik	cselekedtek	sázuramaltak	sázuramlottak
sűszünizik	sűszünzik	cselekedne	sűszünizne	sűszünzene
nipszoszulik	nipszoszlik	cselekedtek	nipszoszultok	nipszoszlotok
rűzüsölik	rűzüslik	cselekedni	rűzüsölni	rűzüsleni
dűplünizik	dűplünzik	cselekedtek	dűplüniztek	dűplünzettek
kirözik	kirzik	cselekedtek	kiröztek	kirzettek
főnyezik	főnyzik	cselekedtek	főnyeztek	főnyzettek
telünyelik	telünylik	cselekedtek	telünyeltek	telünylettek
pőrügülényözik	pőrügülényzik	cselekedne	pőrügülényözne	pőrügülényzene
bíkörövigidik	bíkörövigdik	cselekedne	bíkörövigidne	bíkörövigdene
ketügiszik	ketügszik	cselekedne	ketügiszne	ketügszene
vüfekölik	vüfeklik	cselekedne	vüfekölne	vüfeklene
lűmözilik	lűmözlik	cselekedni	lűmözilni	lűmözleni
purdapudik	purdapdik	cselekednek	purdapudnak	purdapdanak
mibakozik	mibakszik	cselekedtek	mibakoztok	mibakszotok
kümígyenyilik	kümígyenylik	cselekedne	kümígyenyilne	kümígyenylene
vüjelik	vüjlik	cselekedtek	vüjeltek	vüjlettek
strökedik	strökszik	cselekednek	strökednek	strökszenek
solazulik	solazlik	cselekednek	solazulnak	solazlanak
báztíszulik	báztíszlik	cselekednek	báztíszulnek	báztíszlenek
bibírozik	bibírzik	cselekedne	bibírozne	bibírzene
risiralik	risirlik	cselekednek	risiralnek	risirlenek
vírarudik	vírardik	cselekednek	vírarudnak	vírardanak
löjezik	löjzik	cselekedni	löjezni	löjzeni
réfebűzegeszik	réfebűzegszik	cselekedni	réfebűzegeszni	réfebűzegszeni
tijilik	tijlik	cselekednek	tijilnek	tijlenek
böstizsölik	böstizslik	cselekedtek	böstizsöltek	böstizslettek
fűdötenyelik	fűdötenylik	cselekedne	fűdötenyelne	fűdötenylene
drartirtirudik	drartirtirdik	cselekedtek	drartirtirudtek	drartirtirdettek
tönölőtilik	tönölőtlik	cselekednek	tönölőtilnek	tönölőtlenek
kigürik	kigrik	cselekedne	kigürne	kigrene
sögyürödik	sögyürdik	cselekedne	sögyürödne	sögyürdene
főnyezik	főnyzik	cselekednek	főnyeznek	főnyzenek
turorodik	turordik	cselekednek	turorodnak	turordanak
szubapodik	szubapszik	cselekedtek	szubapodtok	szubapszotok
búdalik	búdlik	cselekednek	búdalnak	búdlanak
kotunyuzik	kotunyzik	cselekednek	kotunyuznak	kotunyzanak
sedisizsölik	sedisizslik	cselekedtek	sedisizsöltek	sedisizslettek
lüpödik	lüpszik	cselekedtek	lüpödtek	lüpszettek
kavukozik	kavukzik	cselekednek	kavukoznak	kavukzanak
bövögölik	bövöglik	cselekedtek	bövögöltek	bövöglettek
főpözilik	főpözlik	cselekedtek	főpöziltek	főpözlettek
lórudik	lórdik	cselekednek	lórudnak	lórdanak
digüvinözik	digüvinzik	cselekednek	digüvinöznek	digüvinzenek
lérilik	lérlik	cselekedne	lérilne	lérlene
vőmpepüdölik	vőmpepüdlik	cselekedne	vőmpepüdölne	vőmpepüdlene
szalodik	szalszik	cselekedtek	szalodtok	szalszotok
tűdedölönölik	tűdedölönlik	cselekedni	tűdedölönölni	tűdedölönleni
lígyokodik	lígyokszik	cselekedtek	lígyokodtak	lígyokszottak
bószolik	bószlik	cselekedni	bószolni	bószlani
venjünyelik	venjünylik	cselekedni	venjünyelni	venjünyleni
sudojolik	sudojlik	cselekedtek	sudojoltak	sudojlottak
süköredik	sükördik	cselekedtek	süköredtek	sükördettek
flékeköszik	flékekszik	cselekednek	flékekösznek	flékekszenek
tipokozik	tipokszik	cselekedtek	tipokoztok	tipokszotok
fukulik	fuklik	cselekedtek	fukultok	fuklotok
rídölik	rídlik	cselekedni	rídölni	rídleni
vísztigölik	vísztiglik	cselekedtek	vísztigöltek	vísztiglettek
salmutáralik	salmutárlik	cselekedtek	salmutáraltak	salmutárlottak
morugodik	morugszik	cselekedni	morugodni	morugszani
lűgürik	lűgrik	cselekedtek	lűgürtek	lűgrettek
böböjezik	böböjzik	cselekedtek	böböjeztek	böböjzettek
gíkípödik	gíkípszik	cselekedni	gíkípödni	gíkípszeni
lerökizik	lerökzik	cselekedtek	lerökiztek	lerökzettek
sugidolik	sugidlik	cselekedtek	sugidoltek	sugidlettek
lákomozik	lákomzik	cselekednek	lákomoznak	lákomzanak
vőjözik	vőjzik	cselekedtek	vőjöztek	vőjzettek
lígödik	lígszik	cselekedne	lígödne	lígszene
púzitszójolik	púzitszójlik	cselekedni	púzitszójolni	púzitszójlani
fákíkudik	fákíkdik	cselekedtek	fákíkudtek	fákíkdettek
natijozik	natijzik	cselekednek	natijoznek	natijzenek
vövímölik	vövímlik	cselekedne	vövímölne	vövímlene
vapísodik	vapíslik	cselekedne	vapísodne	vapíslene
pőgölik	pőglik	cselekedni	pőgölni	pőgleni
kiguvabózsolik	kiguvabózslik	cselekedne	kiguvabózsolna	kiguvabózslana
vöpödik	vöpszik	cselekedne	vöpödne	vöpszene
jíkozik	jíkszik	cselekednek	jíkoznek	jíkszenek
gősölik	gőslik	cselekedtek	gősöltek	gőslettek
kúrzutkukíkuszik	kúrzutkukíkszik	cselekedtek	kúrzutkukíkusztek	kúrzutkukíkszettek
vávukudik	vávukdik	cselekedne	vávukudna	vávukdana
fúzísodik	fúzíslik	cselekedni	fúzísodni	fúzísleni
púmanyíruzik	púmanyírzik	cselekedni	púmanyíruzni	púmanyírzeni
fézsilik	fézslik	cselekedne	fézsilne	fézslene
sáturuzik	sáturzik	cselekedni	sáturuzni	sáturzani
físzílűrezik	físzílűrzik	cselekedtek	físzílűreztek	físzílűrzettek
tészödíközik	tészödíkzik	cselekednek	tészödíköznek	tészödíkzenek
lúsulik	lúslik	cselekedne	lúsulna	lúslana
pémbölüzörödik	pémbölüzördik	cselekedtek	pémbölüzörödtek	pémbölüzördettek
fozganozik	fozganzik	cselekedtek	fozganoztak	fozganzottak
núgozik	núgzik	cselekedni	núgozni	núgzani
műkötetelik	műkötetlik	cselekedtek	műköteteltek	műkötetlettek
fúkakozik	fúkakszik	cselekedtek	fúkakoztok	fúkakszotok
túsíkuszik	túsíkszik	cselekedtek	túsíkusztek	túsíkszettek
lórudik	lórdik	cselekedne	lórudna	lórdana
köleközik	kölekzik	cselekedne	köleközne	kölekzene
rőpödik	rőpdik	cselekedne	rőpödne	rőpdene
bunyutopudik	bunyutopszik	cselekedtek	bunyutopudtok	bunyutopszotok
betübözik	betübzik	cselekednek	betüböznek	betübzenek
strokirulik	strokirlik	cselekednek	strokirulnek	strokirlenek
dárodik	dárdik	cselekedtek	dárodtok	dárdotok
fukulik	fuklik	cselekedne	fukulna	fuklana
szémlinyikedik	szémlinyikdik	cselekedne	szémlinyedikne	szémlinydikene
lákomozik	lákomzik	cselekedtek	lákomoztok	lákomzotok
sömügödik	sömügszik	cselekednek	sömügödnek	sömügszenek
vorígorik	vorígrik	cselekedtek	vorígortek	vorígrettek
szuralik	szurlik	cselekedtek	szuraltak	szurlottak
vókasudik	vókaslik	cselekedtek	vókasudtak	vókaslottak
zúsalugodik	zúsalugszik	cselekedtek	zúsalugodtok	zúsalugszotok
kűgelik	kűglik	cselekedtek	kűgeltek	kűglettek
szűlverödik	szűlverdik	cselekedtek	szűlverödtek	szűlverdettek
beveködik	bevekdik	cselekedtek	beveködtek	bevekdettek
rünilik	rünlik	cselekedni	rünilni	rünleni
múkaszik	múkszik	cselekedni	múkaszni	múkszani
punolik	punlik	cselekedne	punolna	punlana
kegizik	kegzik	cselekedtek	kegiztek	kegzettek
fépüdelik	fépüdlik	cselekedtek	fépüdeltek	fépüdlettek
lávopodik	lávopszik	cselekedtek	lávopodtok	lávopszotok
vúgudik	vúgszik	cselekedtek	vúgudtok	vúgszotok
gökidik	gökszik	cselekedtek	gökidtek	gökszettek
vísolik	víslik	cselekedni	vísolni	vísleni
szujuzik	szujzik	cselekedtek	szujuztak	szujzottak
főpezüliszik	főpezülszik	cselekedtek	főpezülisztek	főpezülszettek
dikaszik	dikszik	cselekedne	daszikne	dszikene
süköredik	sükördik	cselekednek	sükörednek	sükördenek
vözügezik	vözügzik	cselekedtek	vözügeztek	vözügzettek
ketügiszik	ketügszik	cselekedni	ketügiszni	ketügszeni
tósolik	tóslik	cselekednek	tósolnak	tóslanak
vőmpepüdölik	vőmpepüdlik	cselekedtek	vőmpepüdöltek	vőmpepüdlettek
tómolókozik	tómolókszik	cselekedne	tómolókozna	tómolókszana
tőzilik	tőzlik	cselekedne	tőzilne	tőzlene
mőrünilik	mőrünlik	cselekednek	mőrünilnek	mőrünlenek
rizalik	rizlik	cselekedtek	rizaltek	rizlettek
kegíkezik	kegíkzik	cselekedne	kegíkezne	kegíkzene
milöszönyelik	milöszönylik	cselekedni	milöszönyelni	milöszönyleni
vurokodik	vurokszik	cselekednek	vurokodnak	vurokszanak
strézleklűrözik	strézleklűrzik	cselekedtek	strézleklűröztek	strézleklűrzettek
vísztigölik	vísztiglik	cselekedni	vísztigölni	vísztigleni
vorígorik	vorígrik	cselekedni	vorígorni	vorígreni
rűzüsölik	rűzüslik	cselekedne	rűzüsölne	rűzüslene
rofokaszik	rofokszik	cselekedtek	rofokasztak	rofokszottak
kökejelik	kökejlik	cselekedtek	kökejeltek	kökejlettek
vövímölik	vövímlik	cselekedtek	vövímöltek	vövímlettek
tínölik	tínlik	cselekedtek	tínöltek	tínlettek
bopodik	bopszik	cselekedtek	bopodtok	bopszotok
lironúdalik	lironúdlik	cselekedtek	lironúdaltok	lironúdlotok
repörezik	repörzik	cselekedtek	repöreztek	repörzettek
tülívőközik	tülívőkzik	cselekednek	tülívőköznek	tülívőkzenek
púgalik	púglik	cselekedtek	púgaltok	púglotok
múnyozik	múnyzik	cselekedtek	múnyoztok	múnyzotok
séliszik	sélszik	cselekedni	séliszni	sélszeni
fúpanulik	fúpanlik	cselekedne	fúpanulna	fúpanlana
műkötetelik	műkötetlik	cselekednek	műkötetelnek	műkötetlenek
szujuzik	szujzik	cselekedni	szujuzni	szujzani
redöködik	redökdik	cselekednek	redöködnek	redökdenek
tínölik	tínlik	cselekedne	tínölne	tínlene
kipörödik	kipördik	cselekedtek	kipörödtek	kipördettek
vüfekölik	vüfeklik	cselekednek	vüfekölnek	vüfeklenek
bílukulik	bíluklik	cselekedni	bílukulni	bíluklani
dikaszik	dikszik	cselekedni	daszikni	dszikeni
dozsalik	dozslik	cselekedne	dozsalna	dozslana
spimatolik	spimatlik	cselekedne	spimatolna	spimatlana
gősölik	gőslik	cselekedni	gősölni	gősleni
zókazulik	zókazlik	cselekedni	zókazulni	zókazlani
betübözik	betübzik	cselekedtek	betüböztek	betübzettek
fuvosolik	fuvoslik	cselekedne	fuvosolna	fuvoslana
fádakuzik	fádakszik	cselekedni	fádakuzni	fádakszani
sidönözik	sidönzik	cselekedtek	sidönöztek	sidönzettek
plőkezik	plőkzik	cselekedne	plőkezne	plőkzene
reközik	rekzik	cselekedtek	reköztek	rekzettek
rűgezik	rűgzik	cselekedtek	rűgeztek	rűgzettek
tómolókozik	tómolókszik	cselekedtek	tómolókoztok	tómolókszotok
kirözik	kirzik	cselekedni	kirözni	kirzeni
vóbirudik	vóbirdik	cselekedtek	vóbirudtek	vóbirdettek
kűzinyelik	kűzinylik	cselekedne	kűzinyelne	kűzinylene
mibakozik	mibakszik	cselekednek	mibakoznak	mibakszanak
vorígorik	vorígrik	cselekedne	vorígorne	vorígrene
müzötégirik	müzötégrik	cselekedtek	müzötégirtek	müzötégrettek
fősípedik	fősípdik	cselekedtek	fősípedtek	fősípdettek
vőjözik	vőjzik	cselekedtek	vőjöztek	vőjzettek
föbizik	föbzik	cselekedne	föbizne	föbzene
timozik	timzik	cselekednek	timoznek	timzenek
bőfekéköszik	bőfekékszik	cselekedni	bőfekéköszni	bőfekékszeni
filenölik	filenlik	cselekednek	filenölnek	filenlenek
léselik	léslik	cselekedtek	léseltek	léslettek
pafurodik	pafurdik	cselekednek	pafurodnak	pafurdanak
lümögidik	lümögdik	cselekedne	lümögidne	lümögdene
jűvíntetölik	jűvíntetlik	cselekedne	jűvíntetölne	jűvíntetlene
mízerözik	mízerzik	cselekedtek	mízeröztek	mízerzettek
bépidik	bépszik	cselekedtek	bépidtek	bépszettek
szüszölik	szüszlik	cselekedni	szüszölni	szüszleni
kerkütölik	kerkütlik	cselekedtek	kerkütöltek	kerkütlettek
söjközgűgerik	söjközgűgrik	cselekedne	söjközgűgerne	söjközgűgrene
vopígodik	vopígszik	cselekednek	vopígodnek	vopígszenek
vápudik	vápdik	cselekedni	vápudni	vápdani
fófosodik	fófoslik	cselekednek	fófosodnak	fófoslanak
dőzimilik	dőzimlik	cselekedtek	dőzimiltek	dőzimlettek
vagodik	vagdik	cselekedtek	vagodtok	vagdotok
kőködik	kőkszik	cselekedni	kőködni	kőkszeni
güsemölik	güsemlik	cselekednek	güsemölnek	güsemlenek
gosolik	goslik	cselekedne	gosolna	goslana
dazonuzik	dazonzik	cselekedne	dazonuzna	dazonzana
sűtebezik	sűtebzik	cselekedtek	sűtebeztek	sűtebzettek
dígajrómolik	dígajrómlik	cselekedne	dígajrómolna	dígajrómlana
beszípedik	beszípszik	cselekedtek	beszípedtek	beszípszettek
solazulik	solazlik	cselekedtek	solazultak	solazlottak
kúlivúmalik	kúlivúmlik	cselekedni	kúlivúmalni	kúlivúmlani
kúmíjolik	kúmíjlik	cselekedni	kúmíjolni	kúmíjleni
bölödik	bölszik	cselekedtek	bölödtek	bölszettek
rűnyilik	rűnylik	cselekednek	rűnyilnek	rűnylenek
firogarik	firogrik	cselekedni	firogarni	firograni
fukulik	fuklik	cselekednek	fukulnak	fuklanak
bunyutopudik	bunyutopszik	cselekednek	bunyutopudnak	bunyutopszanak
prűrgítűkösödik	prűrgítűköslik	cselekedni	prűrgítűkösödni	prűrgítűkösleni
vávukudik	vávukdik	cselekedni	vávukudni	vávukdani
szugozik	szugzik	cselekedni	szugozni	szugzani
lipükezik	lipükszik	cselekedne	lipükezne	lipükszene
gérmenyelik	gérmenylik	cselekedne	gérmenyelne	gérmenylene
kürzipőpedik	kürzipőpdik	cselekedne	kürzipőpedne	kürzipőpdene
teklüsilik	teklüslik	cselekedne	teklüsilne	teklüslene
kijürelik	kijürlik	cselekedni	kijürelni	kijürleni
bázulaszik	bázulszik	cselekedni	bázulaszni	bázulszani
búfagorik	búfagrik	cselekedtek	búfagortok	búfagrotok
rukudik	rukdik	cselekedtek	rukudtok	rukdotok
sonuzik	sonzik	cselekedtek	sonuztok	sonzotok
kászugodik	kászugdik	cselekedne	kászugodna	kászugdana
gősölik	gőslik	cselekedne	gősölne	gőslene
betsögirik	betsögrik	cselekednek	betsögirnek	betsögrenek
büjelik	büjlik	cselekedtek	büjeltek	büjlettek
fépidik	fépdik	cselekednek	fépidnek	fépdenek
nukogópudik	nukogópdik	cselekednek	nukogópudnak	nukogópdanak
pétögiszik	pétögszik	cselekedni	pétögiszni	pétögszeni
kúfulikozik	kúfulikszik	cselekedtek	kúfuloziktek	kúfulszikettek
fószusúkágodik	fószusúkágszik	cselekedni	fószusúkágodni	fószusúkágszani
taszulánozik	taszulánzik	cselekednek	taszulánoznak	taszulánzanak
panulik	panlik	cselekedne	panulna	panlana
kúruszízulik	kúruszízlik	cselekedtek	kúruszízultek	kúruszízlettek
túgogodik	túgogszik	cselekedtek	túgogodtok	túgogszotok
gősölik	gőslik	cselekednek	gősölnek	gőslenek
vűsödik	vűslik	cselekednek	vűsödnek	vűslenek
szetöszelik	szetöszlik	cselekednek	szetöszelnek	szetöszlenek
forokuszik	forokszik	cselekedtek	forokusztok	forokszotok
pagodik	pagszik	cselekedne	pagodna	pagszana
bűmözik	bűmzik	cselekedni	bűmözni	bűmzeni
tríkulik	tríklik	cselekedtek	tríkultek	tríklettek
fépüdelik	fépüdlik	cselekedne	fépüdelne	fépüdlene
kűközik	kűkszik	cselekednek	kűköznek	kűkszenek
mőgöködik	mőgökdik	cselekedni	mőgöködni	mőgökdeni
mövezsenyözik	mövezsenyzik	cselekedni	mövezsenyözni	mövezsenyzeni
memözik	memzik	cselekednek	memöznek	memzenek
litorúvúdalik	litorúvúdlik	cselekedtek	litorúvúdaltak	litorúvúdlottak
dukodik	dukszik	cselekedne	dukodna	dukszana
pugaszik	pugszik	cselekedni	pugaszni	pugszani
füsztötölik	füsztötlik	cselekednek	füsztötölnek	füsztötlenek
memözik	memzik	cselekedni	memözni	memzeni
rúrílodik	rúrílszik	cselekedni	rúrílodni	rúrílszeni
szurtamúpudik	szurtamúpdik	cselekedtek	szurtamúpudtak	szurtamúpdottak
púmanyíruzik	púmanyírzik	cselekedtek	púmanyíruztek	púmanyírzettek
búnlalodik	búnlalszik	cselekedni	búnlalodni	búnlalszani
szönyelik	szönylik	cselekedtek	szönyeltek	szönylettek
kuzsolik	kuzslik	cselekedtek	kuzsoltak	kuzslottak
